character,top sccs
纽,纽组纼细纴纡绌纪紐绷
纾,纾纡绮紓绎纤缢缔绨纣
线,线銭綫钱绂纹錢鈛饯缤
绀,绀细缂绅组纬结缉绾缮
绁,绁绌紲绀细鉪绱继缒组
绂,绂紱绞绫纹级纮线绶鈸
练,练综缣纮缭绨綡缞纨缐
组,组细纽绸缉绀绳細缊缅
绅,绅绰缂绀纬绋细绯绵绾
细,细组绀绳绸纽缉绅缅纼
织,织纫鉙纠绬紻纸纲鉠綶
终,终終鉖绦络絡鮗笗鲦焂
绉,绉结缯绐绝绪绔绹丝绍
绊,绊绱绡絆纬绎绯绅绰绋
绋,绋绨纬绯绅绵绑缔绀紼
绌,绌绁纽纼绷纰絀绀组紲
绍,绍细紹绺络结绉组纽经
绎,绎绛绊经绦綘绖缝絳络
经,经绖绛绎络缢绤経轻绍
绐,绐给缁紿绔绤給綸缭绉
绑,绑绋鄒綁绊绯纨纲郫邹
绒,绒缄絨纵缴龯级絾纸皴
结,结缯绾纬缟绀缮绉绵维
绔,绔给絝绐缭绘绖绮绤绉
绕,绕统绣铙缢硗蛲绛挠经
绖,绖经絰绔绮缭统绎缝绤
绗,绗绚绹絎缩绵垳纺绮约
绘,绘絵鲙给绔纶绐給紷纷
给,给绐給绤绔缁綸绘纶鉿
绚,绚绹约絇绗绵絢纯维绅
绛,绛绎绦络綘经経絳绪缁
络,络絡绛绦终绪绤绺经臵
绝,绝絶维绹绉缁绡绚纪绐
绞,绞絞鲛纹较绂绫珓狡鉸
统,统纺統绣绮绕纷绖绽缭
绠,绠綆缇纽缏绶组纴纼细
绡,绡绱綃绊缯绪缁緔绅绀
绢,绢绳缉编细絹缱绀緭缗
绣,绣统绕缕纺綉鋵绖经缵
绤,绤綌给绺绐鋊纶络缁绔
绥,绥綏绶缓鋖缕綬纹级緩
绦,绦绛终络绎鲦缀缭努絡
继,继継绌纰绁绱纲綑纸纳
绨,绨绋綈纬缔纺绵纤絣缣
绩,绩缋绬缳缜缤纭缞绠缐
绪,绪緒络绡绱缁绻緖绉绛
绫,绫缕綾绂绞鲮绻绶缭绽
绬,绬续缤缲緓缋縸绩綨缜
续,续绬纹缤绞纻缜纮缕纨
绮,绮绔缔缢给绖绵綺统缭
绯,绯纬緋绋绅绊纡红缂鲱
绰,绰绅缂绵纬绾缜缚绀綽
绱,绱绡绊緔缁綃绪绀绁绅
绲,绲緄缧缇缊编缐缗绿缦
绳,绳缉细绢组缂绀缇纽縄
维,维绾缮缩结绝绅绀雏纬
绵,绵缔纬绾绰绚绅缊结缟
绶,绶綬缓绥綏纴缦绠绫缕
绷,绷绌纼缃綳组绸纽细绀
绸,绸组细綢缇缃绷緺绀缠
绹,绹绚綯绾绗缟绵絢絇绝
绺,绺绤络绍綹结给缯缁缵
绻,绻綣錈绪缕绫缮埢缪锩
综,综缐练缞纭綜绋绵綡绽
绽,绽缇綻编纺统錠综緁维
绾,绾缟结缯缮缩维绀绵纬
绿,绿缘缧緑缐缞彖縁録缲
缀,缀錣綴辍餟绦涰掇蝃醊
缁,缁绐緇给绱鲻缝绤錙绡
缂,缂绅绀绰缮纬缉绳细维
缃,缃緗绷细绸绀组编缩纽
缄,缄绒縬緘縅絾臹瑊缴龯
缅,缅组细緬绀绸纽纼绷缠
缆,缆绬缫绋绱纰绡缒缁绨
缇,缇绽缦緹绸缉缊组绠编
缈,缈緲纱渺魦缬觘鈔玅鯋
缉,缉绳组细绀缂缦绢编缮
缊,缊緼组绵纪缇纽蕴縕缉
缋,缋绩缳绬缦鲼缇缉绶绠
缌,缌緦缇缊绸组纪细鳃综
缍,缍纴细绀缮维缉纽绾缂
缎,缎级缴緞绒绶纸绂縀斅
缏,缏緶缑绠维缇绸组细绽
缐,缐線综缞纭绿鳈缧绲练
缑,缑缏緱维纸绬堠织鍭缇
缒,缒缱绁绱绡縋组缆绀缃
缓,缓緩绶绥綬缕鍰綏锾瑗
缔,缔绵纬缢绨绮締绋绀纤
缕,缕绫缓绻緌绥缪绶绣纱
编,编绢缉缇缟缛缗缃绽缠
缗,缗缛缉编绢緡缊绲缠缟
缘,缘緣绿縁餯猭鐌堟缧掾
缙,缙缯结缍绀绪绉绡繬缰
缚,缚缮绰缂绾纯纬縳绅缜
缛,缛縟缗鎒缠编纒緾绸媷
缜,缜緽縝缤绰須绬绩绾续
缝,缝缁縫绛绎绖绱缡绦经
缞,缞縗综缐缤绿纹纭辕练
缟,缟绾结缯绵绹缮缡縞缰
缠,缠緾缛绸编纒缇绾缟缅
缡,缡缟缯绮縭缝绾绔经绖
缢,缢縊缔绮镒经獈貖鎰缁
缣,缣练绨鳒绋鎌縑综绒缥
缤,缤缜绬续缞绾绩纹缮纻
缥,缥縹鳔缲缧绰缜综缯缌
缦,缦縵缉鳗缇鏝縷绳缰绶
缧,缧縲绿绲缘缐缥纭缪纝
缨,缨纓婴璎妴绥纱撄缧妿
缩,缩绾维绗绀细缃编结缔
缪,缪繆鏐蹘豂縿璆摎僇篸
缫,缫繅鏁缆绬绡绘轈璅缁
缬,缬缴绷颒缈颧纼撷纫颋
缭,缭繚绔绐给绮绖绤练统
缮,缮绾缂结纬绀缚维缉缯
缯,缯结绾缟繒绉缙绡缮绀
缰,缰壃繣缟缉繮缦缮鳣结
缱,缱缒绢繾缉编鑓绳缰缮
缲,缲繰绬缥绳綶绿缳缐繏
缳,缳缋繯绩缲缞鐶镮缐缦
缴,缴繳獥徼缄璬墽繖绒獓
缵,缵绺瓒缕绥绍绣绋络缆
缶,缶击锦韫荋吿匋往耑先
缷,缷卸帥刨觓鰤刣郇剒魝
缸,缸矼肛舡铔扛訌屸佂仜
缹,缹無声焦魚年氚氘犇匉
缺,缺砄映眏硖趹鞅畉軮咉
缻,缻瓳甋砙甑瓿瓵瓬瓶甌
缼,缼欫赥欪饮砍欥钦歂软
缽,缽砵钵骵鉢錰絊躰呠鈢
缾,缾硑皏骿誁軿饼聠鮩駢
缿,缿詬鮜骺鲘斮銗斪駈訢
罀,罀跳朓駣誂眺脁鞉聎铫
罁,罁碙嗣眮晍峒師詷詗剻
罂,罂罌婴揫坐朁壡颦犩揧
罃,罃犖營螢塋瑩甾醟膋昝
罄,罄韾磬罊撀謦擊馨搫毊
罅,罅罏謼畴磄曥嘑摢釄鏬
罆,罆躀瞶皟靧韻碽磒嵿蹪
罇,罇罉蹲鳟嶟撙譐噂鐏墫
罈,罈磹曋瞫憛嘾谭譚罆睴
罉,罉礃罇嵵幥硉韕罈瞦礂
罊,罊礊擊撃韾毊罄譥蟿轚
罋,罋甕壅饔窑觺窐孶嬃夆
罌,罌鑍謇譻搴譽蕐顨瞿麔
罍,罍礨曐曇曅謈曡晕睪蕚
罎,罎礓罆疅礂暿罈僵糧僓
罏,罏艫矑曥嚧罅轤瞊磄髗
罐,罐皠嶉矔胿畦睦磪晆雔
网,网啊讽劂叼风飒闷咧囫
罒,罒冖耂亍宀龵乛云艼示
罓,罓龴丶恖囹只冂图慁乛
罔,罔冃臼圁圊圉圄圕誾圖
罕,罕军窂穻窯挐莘峷芉黿
罖,罖枣琴寒眔龹峚蓉泰岑
罗,罗岁夛畟麦夌穸夓羐妛
罘,罘芣罞琹苿果桒衆罙臩
罙,罙穼朵宩琹冞茱朶突苿
罚,罚弻岃閊嗣胹抏屶盶沉
罛,罛窊苽鼠嵅忈笟凩赧服
罜,罜罣睪睾鼉墨圭罿里噐
罝,罝宣冒苴冝置實骂直圕
罞,罞罘茅矛雺曓冡暴豪髳
罟,罟罯署害罾詈曡苦峕菩
罠,罠峎崀寞買嵔員冥崑苠
罡,罡昰罜噐罣罿彊圭鼉駽
罢,罢巺罴雲罣罜睾蕓墨櫐
罣,罣睾睪罜墨茥鼉琧罿噐
罤,罤晜舅嶤蕘罵岪睪峷崋
罥,罥菖霣富罼鼍巪蛗皀骂
罦,罦宯雽孠莩峷孯茡享窙
罧,罧槑冧菻蔴騍蕀秼殊駯
罨,罨賽謇菴舂弿骞昋吞詈
罩,罩麠罿竃覃莗置亖單暈
罪,罪暃霏菲睪罜韮櫐干峷
罫,罫鄷卦郢罰鄠卾鄙鄢郚
罬,罬窡褰嬰鑍袤崣婴秦奏
罭,罭窢毄嗀瑴瞉彀敱毀毁
置,置詈青壹胄貴音荁責費
罯,罯罟詈害寈罾萻峕訔書
罰,罰割藅劃葥劓剀剒卾劏
罱,罱峕詈萳鷪閨置靑青胄
署,署薯罯暑罟著害硻罾畧
罳,罳悹崽蒠慝患息意愚憙
罴,罴黒巺罢咢曓慧崇峷祟
罵,罵駡舃鷪駕焉嶌烏冐鴐
罶,罶暨圛罾蒥霤罱圕塱閨
罷,罷羆寵藣唜睪巃罦峯唟
罸,罸骬嵜骂丑骭罰寄葑崶
罹,罹槯慛欋框櫂榷稆膗楫
罺,罺窼葈楶窠檗蘗巭虊寞
罻,罻嶎霨蔚尉庸闖闒鼾罱
罼,罼蓽畢譶單嚞辜辠鞷葟
罽,罽蘮屍屙瀱厨历屃閦凥
罾,罾罯罟嘼詈晋舋曹蓸峕
罿,罿詈訔罣罯罩置麠豊亖
羀,羀謍壆嚳醟雤營罃壨当
羁,羁閏閸田閈閳閠聞圛閨
羂,羂羄羅繮縎緭窄繣絽絹
羃,羃囂冪葦薵冓蓴章葷蕁
羄,羄羂羅覆繹嵂岝纆窄緟
羅,羅羄羂纙繀蕝蒓犩羉蕤
羆,羆罷窯巽罕顮靏罦髡寵
羇,羇覉器署罌蜸甖罸瞌罱
羈,羈覊鷣鸅霛鶤鷤鷝覇鷗
羉,羉罦畧罂罌罷羅韅繹羂
羊,羊辛丰譱芉单丵学羔车
羋,羋芈芉莘芋丰芊荢丵半
羌,羌芫芜尭羗宪圥兂完笎
羍,羍李车挛牟窂奔斈夲辛
美,美実姜蘘荑菐羹羮業芺
羏,羏钐彩彯形彭彰影釤杉
羐,羐羑菱麦霥葁蓑靀裴婓
羑,羑羐羡表羙麦羨羕霥袠
羒,羒玢妢坋躮訜扮蚡纷竕
羓,羓把耙钯靶舥弝粑淝肥
羔,羔恙恚羊譱辛丰蓔義虉
羕,羕義羑羙羡表実隶崬菄
羖,羖軗殸段竐投毀殶毁祋
羗,羗羌圥尭芫茏売宠芜羙
羘,羘眻肨胖牂盽眫胂牉咩
羙,羙灻宊羨夫羑羡关羕表
羚,羚軨铃玲扲皊軡拎鈴砱
羛,羛蕘堯譱蘎霛衋蕭鼃嶤
羜,羜拧竚疔坾詝佇羦泞薪
羝,羝軧詆弤砥趆貾牴赿軝
羞,羞差着寿善寚砉菶鲝盖
羟,羟轻羥弪羫烃经軽逄泾
羠,羠泆羪疾挗桋蛦锳跠姨
羡,羡羨羑羙袠表羕羐妄姜
羢,羢钺娀羬铖珬诫駥珹城
羣,羣辜譶蕚鞷菫葟舙辠蓳
群,群眻詳牂羘辞辟靽眫盽
羥,羥娙殌踁羟輕弳逕誙牼
羦,羦輐琓捖烷梡鲩兢羜兟
羧,羧捘稄竣賐埈梭晙焌馂
羨,羨羡羙羑表羕袠羐羲关
義,義羕表羲譱議羑霥恚襄
羪,羪琅斏锒羠娘埌艆浪鞎
羫,羫躻羟鞚埪焢椌硿痊羥
羬,羬輱瑊堿鰔椷煘羢槭媙
羭,羭瑜输睮揄輸堬牏媮蝓
羮,羮羹霎萋蘘曩蕓嶤霋霬
羯,羯輵鞨鴹朅竭謁揭堨谒
羰,羰嵚崁碳嶡湠嶔莰蔌麸
羱,羱塬榞謜嫄騵傆源櫇螈
羲,羲義萎菱霵表麦霰覈轰
羳,羳璠嬏轓鱕皤鐇旙墦譒
羴,羴毒掱旉曅嶤霯寚礨霽
羵,羵鞼轒墳耫韻摃瑻韇璝
羶,羶嬗鱣擅蟺鳣譠璮邅壇
羷,羷瞼嬐噞譣憸澰檢撿驗
羸,羸蠃鸁贏驘臝嬴赢鬲烹
羹,羹羮萋霎霋嶤蘘曩葁窶
羺,羺轜瓀孺嬬擩譳寪拜壖
羻,羻耰櫦據遃鱫瓇煚蘧遽
羼,羼孱麐屪麞麢屢肁賡麡
羽,羽蓼寥剢弱剹豺匊习翊
羾,羾扛屸翀叿卩肛挜虹几
羿,羿穽翆舁弄顨异昇荛畀
翀,翀翞羾揤拑舯肿忡翍种
翁,翁蓊釡枀嵡会翕令爹金
翂,翂躮帉酚黺翑扮砏秎蚧
翃,翃珝栩翉祤挧翊翔蛡翙
翄,翄翍披皳荍掖怶技狓救
翅,翅趐攰翃翹辺妪姻妐她
翆,翆翚毣翠犎搴舉宒翣翼
翇,翇夓翜裻爰荾爱梦蓌夌
翈,翈翤蛡栩翱翢鮙翉珝翓
翉,翉栩翃翱枊桠祤翈柳朷
翊,翊珝诩翃挧祤詡翓翉翔
翋,翋拞翑翞翍羾啦翄挝恤
翌,翌翣翠翚峯聖翬莑瑿竪
翍,翍翄皳翐翋翞报蚾掖披
翎,翎翗翖刢翷翔鉶鉚邻翙
翏,翏蔘蓼寥嵾參篸摎茤参
翐,翐帙翭抶跌翍胅肤駚聅
翑,翑恦翋驹拘翂珦揓岣怐
習,習脅翯翟脀督叠瞖鬶眢
翓,翓詡翧翸翤翮翲翢翺翖
翔,翔翲珝翷翱翺翶翓翸鮙
翕,翕龛樖搻拿弇畣翥淾衾
翖,翖翎翓鮙翻詡翤刣瓵翧
翗,翗翎翙翷卶鉶郷厀猁銸
翘,翘翹趐翷刹翻剂虝剎蠫
翙,翙翗刿翷翾翽翃翱列翎
翚,翚翬翆翣翼毣翠翨睾肈
翛,翛鯈絛倐儵條倏脩儠修
翜,翜燢熃爂燛翇夭焈炙叕
翝,翝刼妼邚刿鄬郯动粅酀
翞,翞翀翋翍翭翐翵獂疬翑
翟,翟習籊藋窪翚翬雤窰翣
翠,翠翚翣翌翆翏翟奚毣犩
翡,翡裴蒻婓弱裵蓊靟表韦
翢,翢翤翮翩翓翲翸唧剮翈
翣,翣翬毣翌翚霎翼菨窶耋
翤,翤翢翮翓翩翈翸翧翱翶
翥,翥乽蠤翕蠚薧亨蠢鬘蒚
翦,翦剪煎勲譾鹁翿翥鼼剅
翧,翧翸翮翓詡訆翺翿謝翤
翨,翨翼毣翬葦翚疐冀鷰寁
翩,翩翢翤翮翺翶翓甂翻翲
翪,翪艐朡騣猣鬷椶稯惾嵕
翫,翫斵甄斮酛瓿萷斱甑斲
翬,翬翚翣翯軰黌夤罿肈豐
翭,翭翐帿翞翍拵翵嗾掖赈
翮,翮翤翧翢翺翓翶翸翱翩
翯,翯翬習篙鷽窅晉簹黌鴛
翰,翰輸螒榦鶾雗輪斡鯩幹
翱,翱翺翶翾翮翲翸翔詡翉
翲,翲翔翾翸翓翶翱翺翢詡
翳,翳蘙嫛嵡瑿繄醫蓊翁繋
翴,翴擿慩摙撻蹥搥膇撾慥
翵,翵鴀鴉鶸鳭鵴鴵鴅鵝鳽
翶,翶翺翱翲翮韌軔翸翓靭
翷,翷翻翔翗翙翎斴翲翸甐
翸,翸翧翲翓翮翾翽翿翶詡
翹,翹翿翘趐翲翸翔翅翺翶
翺,翺翶翱翮翲翾翧翓翸翩
翻,翻翷翸翓翮翩翖翲翧刟
翼,翼冀翚翣翨藳窶蔞霬寞
翽,翽劌翾翸翲翢翙翤翓翮
翾,翾翲翱翽翸翺翙翶翔翤
翿,翿詡訆翸翧剸翹翲翮劃
耀,耀櫂燿躍辉輝趯熦擢糶
老,老荖考者耂羏卷珯孝毝
耂,耂考龹孝丆老罒豙冡紊
考,考者耂耇老孝券劵鬚卷
耄,耄耋髦髼毞鬇芼髨孳鬡
者,者考耇眷巻肴着老弮耆
耆,耆蓍耉鬌脀耈孴詟聋鬐
耇,耇耉耈者髱耆考矞鬠卺
耈,耈耉耆耇髱鬌蓍甏鬜鬐
耉,耉耈耇耆髱蓍脀鬠鬌聋
耊,耊耋搴窒蓥拳鐾舝荎髼
耋,耋耄耊髼鞌鬊鬕鬓髦莑
而,而帀襾巿币両丽市覀耐
耍,耍要婯雯耎娈夢蘷娿蘡
耎,耎耍龑婯栗葜粟契雵薁
耏,耏彨彫形肜彤彬彭虨硥
耐,耐而刪昁胕丽胹跗冚帀
耑,耑荋芾諯帇带腨踹揣冊
耒,耒未末苿桒荣夭茱雬釆
耓,耓朾打钉靪灯玎奵虰訂
耔,耔籽秄杍耓杽杅抙寽杼
耕,耕枡親耪枿兢柫妌秭栟
耖,耖杪粆秒抄玅紗炒桫妙
耗,耗秅秏牦軞氋粍奼枆籷
耘,耘秐転枟妘忶抎祘孞坛
耙,耙靶粑羓把杷戺钯舥淝
耚,耚秛皳鞁柀敤駊敕秓秡
耛,耛耠秮枱軩齝炲秴怡粭
耜,耜鴸鳺鴺鵣鶎鷅躳走耟
耝,耝柤租耟杻栕粗抯耦榀
耞,耞枷杊枊拁杌鉫舠籶椥
耟,耟柜粔秬拒蒩耝桓矩兡
耠,耠耛秴粭鞈枱秮袷铪姶
耡,耡勘耞锄楜勸勀刜勴勌
耢,耢耪捞耕糃鵣鳺鶫楊輰
耣,耣棆稐椧掄惀輪榆睔檎
耤,耤藉稓棤桔檔秸耩穯措
耥,耥稍梢鞝輎惝緔销焇韒
耦,耦耝楇楀鶼櫚稆禑鵣柙
耧,耧楼搂耖镂褛桜捼桚耯
耨,耨稺媷槈穉穮樨鎒穲檘
耩,耩橗梙样耤構輔樺鞲柛
耪,耪耢榜耕蕛耮枴鶫鵣柺
耫,耫積樍槓樻櫝樌橨槙耬
耬,耬樓槾棲耫榎梫鞻耰榠
耭,耭機穖鞿禨譏璣鐖蟣饑
耮,耮橯撈憦蟧軂挘朥磱嘮
耯,耯穫韄檴矱擭彟欆嬳耬
耰,耰櫌懮擾櫦耬榎薐櫻稷
耱,耱轣櫔櫪饝糲檵槠榶糏
耲,耲榱櫰犦欙檺榢橠欀粶
耳,耳冝真互肎日茸且口写
耴,耴轧乱刵乹軋虬乩耻馴
耵,耵町盯叮矴虰时帄舡玎
耶,耶郮鄅鄳邬郖邯邱郢郓
耷,耷奆育夿査奄查奋軬夸
耸,耸營篬笞膋昝省罃鶑覮
耹,耹聆昑肣玪吟軡岒蚙趻
耺,耺眃呍坛眎転秐瑔塜瞩
耻,耻聉聇趾眦骴跐砋昢聏
耼,耼珊冊册蚦盱跚旰盰嗢
耽,耽眈馾酖骩黕躭肬肍胁
耾,耾吰肱聗昿胘畞眩竑昡
耿,耿炚臥聗玐吙瞅驮閄倝
聀,聀戝戕战戙戨睋眓我戟
聁,聁盼昐吩玢朌肦帉岎坋
聂,聂轰熭軣晏蕞袰昊旲妟
聃,聃畘眒聛聑珃瞯晡瞷瞄
聄,聄畛胗眕昣跈珍駗轸殄
聅,聅聗眣胅駚昳畂职联矤
聆,聆耹舲皊昑昤玲岭駖鹷
聇,聇眐耻聏聉阷咂臦砸盯
聈,聈眑靿坳軪昒呦岰黝肳
聉,聉昢胐耻朏咄础聏眦甽
聊,聊甽珋駠驯叨玔旫呗舰
聋,聋詟耆巹蓍髺脀薈眘髶
职,职胑耿呮軹眏聊駚呗腴
聍,聍貯畤眝酧巧丐聤盱咛
聎,聎朓脁鞉眺駣罀晀珧跳
聏,聏胹骊聉珮聇珊輀師哬
聐,聐聕晧咭腊聃聘聒瞄蛣
聑,聑眲咡聃珥呷賙玾聛瞷
聒,聒瞃咶毦聐甛聏瞷聥聇
聓,聓鞏旹罾詈旾晉音疂晋
联,联眹朕畉肤胅駚聗眣聅
聕,聕聐晧蹛皓黯峼晤黠鞊
聖,聖朢琧堊里瞾琞望璺罣
聗,聗脥蛺耿硤峽埉唊聅畂
聘,聘骋體噌聃聐騁腭璔鴫
聙,聙晴啨睛晡腈聵聐瞎聒
聚,聚藂毉緊系骤彯棸夥漀
聛,聛髀睥聃脾賗聑眲眒蜱
聜,聜硿啌腔鞚躻醓崆眧昭
聝,聝琙黬瑊晠馘戫域醎賦
聞,聞闆閭間閸閠閏閳闉閈
聟,聟智驾眢舋窅豐響賀眚
聠,聠骈胼駢骿皏賆軿硑腁
聡,聡棇捴焧聬聦昖耹総倊
聢,聢琔腚啶蝊碇埞聙暶琁
聣,聣睨腉晲眖覗眀唲貺明
聤,聤蝏碠疇朜哼躊嵉啍瞦
聥,聥瑀蝺聒踽聑瞃毦聐矋
聦,聦騘牎唿揔聮楤聰聡惚
聧,聧睽骙騤聫暌睒騃啖楑
聨,聨聯聫骅壣聮晔哗跭胮
聩,聩瞆赜聵唝埙瞚啧環暥
聪,聪聼聴聰腮联骢搃騦贃
聫,聫聨聯聧睽觻騤躒骙轢
聬,聬瞈暡螉嗡塕琻聡玱賒
聭,聭瑰魄螝磈职醜聛騩塊
聮,聮噝聦聯聨聡瞛礠璣喲
聯,聯聨聫骅壣聮晔哗骆瞛
聰,聰璁骢聴嗯驄蟌聦幒牕
聱,聱骜瞀鳌譥骛贅暓睯晵
聲,聲瞽韾聱瞖蟿藖謦贄臀
聳,聳鞪仺詧爸昝谷合鲨舎
聴,聴聼聰聽璤瞣噁聪璁骢
聵,聵瞶靧墤璝膭鞼睊瞔瑁
聶,聶贔矗瞐呈晶皨鼂圼骉
職,職賳睵驖蟙膱黬橶聝幟
聸,聸瞻贍膽曕舚噡黵幨韂
聹,聹矃嚀賱琿眸黸暉聯晖
聺,聺嚓暩礤磜嘜暸檫璿镲
聻,聻舋讆讏蘴聟寷響暫蓇
聼,聼聴聽璤聰聪蟌骔噁騦
聽,聽聼聴驄騦聰骢韢璤悪
聾,聾蠪讋礱霅曹驡瞢蕾蓸
聿,聿茟韋崋莗華掌革菫葦
肀,肀千宁帇壭干书屮芐卡
肁,肁匩匡廑厪屖匰屢屋匞
肂,肂殬殫殣嬅媁殚婞娃嫤
肃,肃萧帇蔚蒜蔗亓开井荒
肄,肄拜肂肆窏囏韡穽贚貄
肅,肅蕭衋霛蘦鼂鼀幸蘎鼉
肆,肆賗驛瞱驊蕼蹕騁購騲
肇,肇肈鞶璧鄨謷譥鞌警擘
肈,肈肇璧鞶耋擘鬘翬輦譬
肉,肉内內冈闪囟俲閃囪丙
肊,肊忆肱胘亿庬舷钇胚豚
肋,肋肕劤肍助肬励胹朊腕
肌,肌叽胍肛肍舤删肶骪脁
肍,肍肬肒胁骩肮肌朊肋肵
肎,肎冝冐冒肓胃宫宮亶宣
肏,肏爾奁窗贪峹仒贠仑仓
肐,肐盵趷吃矻扢忔阣籺杚
肑,肑旳馰趵胸的朐胊胕肳
肒,肒肍胁骫腕肌骩肬駠脷
肓,肓盲肎冐胄膏肯肻青胃
肔,肔貤弛毑驰朑朏胍肌肚
肕,肕舠肋舰刱叨胢旫肌衂
肖,肖当畄尚営邕膋鶯鶑簹
肗,肗妝胈肢胺脄腋胧駇馶
肘,肘时胕肋弣尉脼胢耐胹
肙,肙吕暠呂啚骨員昌冃膏
肚,肚朏朑肶胐肛壯匨胿耻
肛,肛肌腼肚胢眐叿盯胆舡
肜,肜彤形彫耏钐彯胗涁杉
肝,肝旰盰册肼盱冊弙肿骭
肞,肞舣取叹叞収肢胈服昅
肟,肟膈腈腽腸册肪弜腨肝
肠,肠旸砀畅腸睗饧钖扬肳
股,股般殷肢骰腶段酘弢服
肢,肢股馶貱庪胈般肗肞駊
肣,肣耹趻昑舲朎駖聆吟跉
肤,肤胅朕肽腴胦趺脨肰胠
肥,肥舥弝跁吧腮皅把腡胑
肦,肦朌盼脫昐吩聁躮帉玢
肧,肧胚衃膟豚怀吥駓阫妚
肨,肨羘胂盽膊牂腄脌胖脾
肩,肩后扃扈盾扂眉鳸扄菺
肪,肪舫眆昉肮腑脘肵肋腕
肫,肫肿盹脯胂胋鹏胢肺肔
肬,肬肍駀朊胧肋肮眈胱胁
肭,肭吶胭朒腑脼胍睏呐脑
肮,肮航朊貥肍腕肬肵骯盺
肯,肯肻青昔肓甧蒿营菅靑
肰,肰肽狀畎舦肤胀馱駄状
肱,肱胘耾脄舷吰眩胨脥腋
育,育耷奆肻言査夿窅貪奄
肳,肳昒眑吻岉聈歾物肕粅
肴,肴看畚奙貵睂篬叁着台
肵,肵斨盺昕听朊所肍肮胹
肶,肶舭胐肚朏跐眦骴胱吡
肷,肷脄欣欥脓赥弞欤肽歂
肸,肸脽肣脌脞肹胙肦眸朌
肹,肹盻腀眙胎胯腍跲肦牄
肺,肺胹脯胂腣脼腑昁肿腩
肻,肻肯青芎胄营靑蒿冑菁
肼,肼胇胼腁肝腗胏腉脘畊
肽,肽肰肤舦狀駄肷牀馱畎
肾,肾腎彆賢鄨弩驽鷩聓膋
肿,肿胂胛肫眒舯肺脯胢鹏
胀,胀张肰账狀帐脒肽脓服
胁,胁肍跡眈肒协跏肌叨肬
胂,胂肿胛脯眒肺腩膶肨膅
胃,胃冐胄冑冒青靑肎宵詈
胄,胄冑冐胃青詈膏置靑音
胅,胅眣肤昳胦跌矤镻腴朕
胆,胆腘腡艃膒腥呾膶脭脜
胇,胇肼胏腓脨胼腗肋脘脱
胈,胈跋肗帗版駇畋肢肞胧
胉,胉鹏舶胋脜鵬肿腯腡腘
胊,胊朐眗胸胞昫驹胕晌眴
胋,胋腊朏鹏胉腡胐胂肫肿
背,背脊肻古軰昔鵞肯吉青
胍,胍弧肌畖呱脈孤柧叭抓
胎,胎眙跆駘肹骀腀脂跲膙
胏,胏胇脨肼肪睇肺胼腁脱
胐,胐朏朑聉昢肶删胹肚胱
胑,胑腴胦腂呮职脶眏朖腲
胒,胒眤屔昵朊呢脲跜肌腒
胓,胓呯肿胛駍胂胖脺臐臑
胔,胔赀觜飺皆眥胬耇芮哛
胕,胕弣跗胻朐驸咐胊胹脼
胖,胖牉眫跘羘畔踃肨靽胱
胗,胗聄眕畛昣跈駗抮珍袗
胘,胘舷眩肱昡弦胲呟耾骸
胙,胙舴雕脌脽葄胩肸胻胨
胚,胚肧駓呸睏肛岯脛柸肭
胛,胛胂胴腡膶胟肿腒舺腢
胜,胜脏脽腔腽膗胋膃胐肚
胝,胝眡弤貾眂脈呧胍骶砥
胞,胞胊朐胣骲跑脃脢胸脽
胟,胟胛膶腡胴腘胆胂腒膕
胠,胠肤脿朕脨胅胦肽胰胏
胡,胡覸朋朝覠朙覵明靚靦
胢,胢牁腼脼胹蒯跒肛肕舸
胣,胣胞脢駞施胸脽跑肔朐
胤,胤凮湚剷凬囐愉槲熾懰
胥,胥疍眢青驾胄臂宵詈窅
胦,胦眏腴駚胑脥胅趹駃肤
胧,胧眬昽肬胈庞拢珑肗咙
胨,胨腁肱肷腑腙脇脄弥脥
胩,胩脤咔胪胙肽脿胀脙肺
胪,胪胂舻肼腗肿舮脱腉胩
胫,胫弪脴胵膉脛胳膍膽硁
胬,胬脔膥餐努膐裔胔务熒
胭,胭腘骃睏膕肭脶胴腡咽
胮,胮跭舽艂胳栙路脐驿袶
胯,胯舿骻肹膌跨晇肣謄腌
胰,胰腖肤脨脹腴朠胠朕眱
胱,胱駫晄肶胐脒珖脁朓硄
胲,胲畡骇晐駭賅赅骸胘硋
胳,胳路骆略脗眳挌賂咯胮
胴,胴胛腡腘膒眮朐駧腒胹
胵,胵眰跮晊駤胫跧脴腟膯
胶,胶骹皎跤晈咬駮賋饺峧
胷,胷鲁讆讏篃習篔筥詹窅
胸,胸朐胊哅肑胞眗旳恟胣
胹,胹脼腼肺聏胐胢胴師肵
胺,胺肗咹肢胈庪腰踥胶骹
胻,胻珩哘胕胊朐桁跗弣驸
胼,胼腁聠脱肼駢骿骈皏駾
能,能熊態諓蒊餞簓钱髭线
胾,胾酨臷戭載戴戡裁蛓葳
胿,胿跬腄膛朧肚腊膳膗肨
脀,脀巹耆蓍髾卺詟鬠沓脅
脁,脁朓眺聎跳罀晀駣肌胱
脂,脂臚脜腯膒胎膅腷腤瞃
脃,脃脆胞膽艵跪睢脽脕骲
脄,脄脥肷肱咴欥脓腋欣缼
